n,r,m
"(:exposure_to_the_virus {id: e2312})""""","[:affected_by]""""","(:containment_measures {id: e1593})"""""
"(:exposure_to_the_virus {id: e2312})""""","[:affected_by]""""","(:sectoral_structure {id: e2293})"""""
"(:exposure_to_the_virus {id: e2312})""""","[:considered_factors]""""","(:containment_measures {id: e1593})"""""
"(:exposure_to_the_virus {id: e2312})""""","[:considered_factors]""""","(:sectoral_exposure {id: e2323})"""""
"(:inter_regional_input_output_tables {id: e2313})""""","[:related_to]""""","(:European_NUTS_2_regions {id: e2318})"""""
"(:European_NUTS_2_regions {id: e2318})""""","[:described_in]""""","(:JRC_Working_Papers_on_Territorial_Modelling_and_Analysis {id: e2319})"""""
"(:JRC_Working_Papers_on_Territorial_Modelling_and_Analysis {id: e2319})""""","[:has_number]""""","(:No_01_Versus_2019 {id: e2320})"""""
"(:JRC_Working_Papers_on_Territorial_Modelling_and_Analysis {id: e2319})""""","[:published_by]""""","(:European_Commission {id: e2321})"""""
"(:JRC_Working_Papers_on_Territorial_Modelling_and_Analysis {id: e2319})""""","[:published_in]""""","(:_2019 {id: e268})"""""
"(:European_Commission {id: e2321})""""","[:indicated_by]""""","(:intentions_to_spend_on_renovations {id: e17612})"""""
"(:European_Commission {id: e2321})""""","[:has_indicator]""""","(:indicator_of_recent_trends_in_construction_activity {id: e10919})"""""
"(:European_Commission {id: e2321})""""","[:reported_in]""""","(:draft_budgetary_plans {id: e2902})"""""
"(:European_Commission {id: e2321})""""","[:make]""""","(:legislative_proposals {id: e16480})"""""
"(:European_Commission {id: e2321})""""","[:review]""""","(:fiscal_and_economic_governance_framework {id: e8418})"""""
"(:European_Commission {id: e2321})""""","[:responded_to]""""","(:economic_impacts {id: e15691})"""""
"(:European_Commission {id: e2321})""""","[:issue_date]""""","(:_8_March_2023 {id: e12194})"""""
"(:European_Commission {id: e2321})""""","[:proposed]""""","(:recovery_plan {id: e17391})"""""
"(:European_Commission {id: e2321})""""","[:published]""""","(:biannual_industrial_investment_survey {id: e14668})"""""
"(:European_Commission {id: e2321})""""","[:released]""""","(:country_specific_recommendations {id: e4919})"""""
"(:European_Commission {id: e2321})""""","[:released]""""","(:Communication_on_the_reform_of_the_EU_economic_governance {id: e12999})"""""
"(:European_Commission {id: e2321})""""","[:released]""""","(:European_Semester_Spring_Package {id: e21623})"""""
"(:European_Commission {id: e2321})""""","[:tended_to_have_less_data]""""","(:HICP_data {id: e6264})"""""
"(:European_Commission {id: e2321})""""","[:issued]""""","(:Anti_Tax_Avoidance_Package {id: e7636})"""""
"(:European_Commission {id: e2321})""""","[:announcement_of]""""","(:Fit_for_55 {id: e6224})"""""
"(:European_Commission {id: e2321})""""","[:presented_on]""""","(:_27_May {id: e18160})"""""
"(:European_Commission {id: e2321})""""","[:had_positive_trust_since]""""","(:_2017 {id: e971})"""""
"(:European_Commission {id: e2321})""""","[:is_mentioned_in_analysis]""""","(:ECB {id: e849})"""""
"(:European_Commission {id: e2321})""""","[:released_on]""""","(:_27_May {id: e18160})"""""
"(:European_Commission {id: e2321})""""","[:presented]""""","(:recovery_plan {id: e17391})"""""
"(:European_Commission {id: e2321})""""","[:recommended_on]""""","(:_23_May_2022 {id: e20149})"""""
"(:European_Commission {id: e2321})""""","[:propose]""""","(:excessive_deficit_procedures {id: e18187})"""""
"(:sectoral_exposure {id: e2323})""""","[:extent_of]""""","(:partner_regions {id: e2324})"""""
"(:partner_regions {id: e2324})""""","[:located_in]""""","(:countries {id: e1006})"""""
"(:paper {id: e2325})""""","[:concerns]""""","(:interregional_trade_linked_Supply_and_Use_tables {id: e2326})"""""
"(:interregional_trade_linked_Supply_and_Use_tables {id: e2326})""""","[:accompanied_by]""""","(:consistent_transport_flows {id: e2327})"""""
"(:regional_trade {id: e2328})""""","[:distinguishes]""""","(:international_trade {id: e918})"""""
"(:regional_trade {id: e2328})""""","[:distinguishes]""""","(:intra_country_regional_trade {id: e2329})"""""
"(:macroeconomic_model {id: e2331})""""","[:assessed_by_combining]""""","(:epidemiological_model {id: e2332})"""""
"(:epidemiological_model {id: e2332})""""","[:context_of]""""","(:COVID_19 {id: e2295})"""""
"(:epidemiological_model {id: e2332})""""","[:incorporates_category]""""","(:quarantined_individuals {id: e2339})"""""
"(:epidemiological_model {id: e2332})""""","[:incorporates_category]""""","(:vaccinated_people {id: e2340})"""""
"(:interplay {id: e2333})""""","[:interplay_between]""""","(:macroeconomic_model {id: e2331})"""""
"(:interplay {id: e2333})""""","[:interplay_between]""""","(:epidemiological_model {id: e2332})"""""
"(:ECB_BASIR21 {id: e2334})""""","[:addresses]""""","(:COVID_19 {id: e2295})"""""
"(:ECB_BASIR21 {id: e2334})""""","[:extension_of]""""","(:ECB_BASE22_model {id: e2335})"""""
"(:SIR_model {id: e2336})""""","[:introduced_by]""""","(:Kermack {id: e2337})"""""
"(:SIR_model {id: e2336})""""","[:introduced_by]""""","(:McKendrick {id: e2338})"""""
"(:economic_behaviour {id: e2341})""""","[:establishes_channel]""""","(:epidemiological_model {id: e2332})"""""
"(:transmission {id: e2342})""""","[:related_to]""""","(:monetary_policy {id: e1227})"""""
"(:transmission {id: e2342})""""","[:affects]""""","(:key_macroeconomic_forces {id: e20842})"""""
"(:transmission {id: e2342})""""","[:affected_by]""""","(:consumption {id: e1341})"""""
"(:transmission {id: e2342})""""","[:affected_by]""""","(:work_activity {id: e2343})"""""
"(:transmission {id: e2342})""""","[:part_of]""""","(:monetary_policy {id: e1227})"""""
"(:transmission {id: e2342})""""","[:via]""""","(:production_chain {id: e7919})"""""
"(:transmission {id: e2342})""""","[:via]""""","(:distribution_chain {id: e13465})"""""
"(:transmission {id: e2342})""""","[:linked_to]""""","(:aggregate_consumption {id: e16210})"""""
"(:transmission {id: e2342})""""","[:shows]""""","(:households {id: e740})"""""
"(:transmission {id: e2342})""""","[:in_all_jurisdictions_of]""""","(:euro_area {id: e375})"""""
"(:macroeconomic_behaviour {id: e2345})""""","[:established_by_channel_from]""""","(:epidemiological_component {id: e2344})"""""
"(:agents {id: e2346})""""","[:constrained_by]""""","(:lockdowns {id: e1730})"""""
"(:agents {id: e2346})""""","[:consume_in_comparison_to]""""","(:unconstrained_agents {id: e2347})"""""
"(:agents {id: e2346})""""","[:report_using]""""","(:round_figures {id: e9848})"""""
"(:unconstrained_agents {id: e2347})""""","[:differences_estimated_on_basis_of_data_for]""""","(:first_quarter_of_2020 {id: e672})"""""
"(:unconstrained_agents {id: e2347})""""","[:differences_estimated_on_basis_of_data_for]""""","(:second_quarter_of_2020 {id: e2349})"""""
"(:second_quarter_of_2020 {id: e2349})""""","[:compared_to]""""","(:global_financial_crisis {id: e1217})"""""
"(:standard_econometric_analysis {id: e2351})""""","[:difficult_to_characterise]""""","(:uncertainty {id: e751})"""""
"(:ECB_BASIR {id: e2352})""""","[:designed_for]""""","(:uncertainty {id: e751})"""""
"(:ECB_BASIR {id: e2352})""""","[:can_indicate]""""","(:distribution_of_risk {id: e2366})"""""
"(:favourable_scenario {id: e2353})""""","[:includes]""""","(:medical_solution {id: e2354})"""""
"(:favourable_scenario {id: e2353})""""","[:close_to]""""","(:mild_scenario {id: e2364})"""""
"(:favourable_scenario {id: e2353})""""","[:considered_by]""""","(:ECB_BASIR {id: e2352})"""""
"(:favourable_scenario {id: e2353})""""","[:results_from_earlier_implementation_of]""""","(:vaccine {id: e2356})"""""
"(:medical_solution {id: e2354})""""","[:effective_date]""""","(:_1_January_2021 {id: e2355})"""""
"(:vaccine {id: e2356})""""","[:affects]""""","(:spending_behavior {id: e2359})"""""
"(:vaccine {id: e2356})""""","[:affects]""""","(:productive_capacity {id: e2360})"""""
"(:vaccine {id: e2356})""""","[:leads_to]""""","(:uncertainty {id: e751})"""""
"(:vaccine {id: e2356})""""","[:reduces]""""","(:lockdown_restrictions {id: e2358})"""""
"(:vaccine {id: e2356})""""","[:becomes_available]""""","(:mid_2021 {id: e4861})"""""
"(:economic_agents {id: e2357})""""","[:influenced_by]""""","(:uncertainty {id: e751})"""""
"(:economic_agents {id: e2357})""""","[:respond_by]""""","(:investment {id: e1158})"""""
"(:economic_agents {id: e2357})""""","[:respond_by]""""","(:consumption {id: e1341})"""""
"(:economic_agents {id: e2357})""""","[:adjusted_behavior]""""","(:economic_impact {id: e1900})"""""
"(:economic_agents {id: e2357})""""","[:had_preference_for]""""","(:preference_for_liquidity {id: e17664})"""""
"(:lockdown_restrictions {id: e2358})""""","[:lifting_causing]""""","(:price_changes {id: e2501})"""""
"(:analyzed_scenario {id: e2361})""""","[:deviates_from]""""","(:baseline_scenario {id: e2362})"""""
"(:analyzed_scenario {id: e2361})""""","[:considers_earlier_date_for]""""","(:medical_solution {id: e2354})"""""
"(:baseline_scenario {id: e2362})""""","[:reflects]""""","(:June_2021_Eurosystem_staff_macroeconomic_projections {id: e18638})"""""
"(:baseline_scenario {id: e2362})""""","[:reflects]""""","(:broad_assessment {id: e18813})"""""
"(:baseline_scenario {id: e2362})""""","[:part_of]""""","(:December_2020_staff_macroeconomic_projections {id: e2388})"""""
"(:baseline_scenario {id: e2362})""""","[:foresees_rate]""""","(:annual_HICP_inflation_rate {id: e18885})"""""
"(:baseline_scenario {id: e2362})""""","[:foresees_for_2021]""""","(:_1_point_9percent_for_2021 {id: e19583})"""""
"(:mild_scenario {id: e2364})""""","[:in]""""","(:Eurosystems_December_2020_staff_macroeconomic_projections {id: e2363})"""""
"(:mild_scenario {id: e2364})""""","[:involves]""""","(:containment_measures {id: e1593})"""""
"(:mild_scenario {id: e2364})""""","[:involves]""""","(:medical_treatments {id: e14886})"""""
"(:mild_scenario {id: e2364})""""","[:entails]""""","(:economic_losses {id: e6226})"""""
"(:mild_scenario {id: e2364})""""","[:timeframe]""""","(:_2020 {id: e520})"""""
"(:mild_scenario {id: e2364})""""","[:includes_assumption]""""","(:medical_treatments {id: e14886})"""""
"(:mild_scenario {id: e2364})""""","[:has_measures]""""","(:containment_measures {id: e1593})"""""
"(:mild_scenario {id: e2364})""""","[:has_measures]""""","(:strict_lockdown {id: e14885})"""""
"(:mild_scenario {id: e2364})""""","[:expects_impact]""""","(:temporary_economic_losses {id: e14897})"""""
"(:mild_scenario {id: e2364})""""","[:mild_scenario_GDP_increase]""""","(:_2021 {id: e604})"""""
"(:mild_scenario {id: e2364})""""","[:involves_return_to]""""","(:normal_activity {id: e2967})"""""
"(:distribution_of_risk {id: e2366})""""","[:assesses_a_combination_of]""""","(:economic {id: e2368})"""""
"(:distribution_of_risk {id: e2366})""""","[:assesses_a_combination_of]""""","(:pandemic_related {id: e2369})"""""
"(:distribution_of_risk {id: e2366})""""","[:spans]""""","(:discrete_event {id: e2365})"""""
"(:pandemic_related {id: e2369})""""","[:due_to]""""","(:travel_restrictions {id: e2606})"""""
"(:pandemic_related {id: e2369})""""","[:due_to]""""","(:travel_and_transportation_sectors {id: e17186})"""""
"(:Chart_B {id: e2370})""""","[:shows]""""","(:fiscal_instruments {id: e2845})"""""
"(:Chart_B {id: e2370})""""","[:shows]""""","(:domestic_value_added {id: e7910})"""""
"(:Chart_B {id: e2370})""""","[:shows]""""","(:propagation_channels {id: e13830})"""""
"(:Chart_B {id: e2370})""""","[:illustrates]""""","(:risk_density {id: e2371})"""""
"(:Chart_B {id: e2370})""""","[:illustrates]""""","(:macroeconomic_implications {id: e13828})"""""
"(:Chart_B {id: e2370})""""","[:revealed_heterogeneity_in]""""","(:inflation_rates {id: e2489})"""""
"(:Chart_B {id: e2370})""""","[:provides_information_on]""""","(:house_price_indices {id: e4504})"""""
"(:Chart_B {id: e2370})""""","[:shows_heterogeneity_of]""""","(:inflation_rates {id: e2489})"""""
"(:risk_density {id: e2371})""""","[:concerns]""""","(:timing_and_efficiency_of_the_vaccines_implementation {id: e2374})"""""
"(:risk_density {id: e2371})""""","[:concerns]""""","(:fundamentals_of_the_pandemic {id: e2375})"""""
"(:risk_density {id: e2371})""""","[:combines]""""","(:standard_historical_uncertainty {id: e2372})"""""
"(:standard_historical_uncertainty {id: e2372})""""","[:captured_in]""""","(:residuals_of_the_model {id: e2373})"""""
"(:fundamentals_of_the_pandemic {id: e2375})""""","[:includes]""""","(:estimated_epidemiological_parameters {id: e2376})"""""
"(:start_date {id: e2377})""""","[:captures]""""","(:strategy {id: e2378})"""""
"(:immunity {id: e2379})""""","[:occurs_in]""""","(:vaccinated_person {id: e2380})"""""
"(:vaccinated_person {id: e2380})""""","[:assumed_to_have]""""","(:immunity {id: e2379})"""""
"(:vaccine_rollout {id: e2381})""""","[:takes_time_in]""""","(:practice {id: e2382})"""""
"(:population_percentage_immune {id: e2383})""""","[:is_consistent_with]""""","(:median_model_based_scenario {id: e2384})"""""
"(:median_model_based_scenario {id: e2384})""""","[:starts_in]""""","(:first_quarter_of_2021 {id: e1940})"""""
"(:vaccination_campaign {id: e2385})""""","[:synced_with]""""","(:first_quarter_of_2021 {id: e1940})"""""
"(:analysis {id: e2386})""""","[:for]""""","(:different_groups {id: e4336})"""""
"(:analysis {id: e2386})""""","[:published_on]""""","(:April_2022 {id: e6249})"""""
"(:analysis {id: e2386})""""","[:shows]""""","(:geographical_heterogeneity {id: e9796})"""""
"(:analysis {id: e2386})""""","[:assumes]""""","(:median_pandemic_related_developments {id: e2387})"""""
"(:analysis {id: e2386})""""","[:discusses]""""","(:euro_area_inflation_surprises {id: e6247})"""""
"(:analysis {id: e2386})""""","[:draws_on]""""","(:survey_data {id: e3454})"""""
"(:analysis {id: e2386})""""","[:has_polar_setups]""""","(:two_polar_setups {id: e13255})"""""
"(:analysis {id: e2386})""""","[:measures]""""","(:public_trust {id: e5010})"""""
"(:analysis {id: e2386})""""","[:relies_primarily_on]""""","(:European_Central_Bank {id: e848})"""""
"(:analysis {id: e2386})""""","[:should_be_widened_to]""""","(:various_subcomponents_of_financial_centre_current_accounts {id: e7838})"""""
"(:analysis {id: e2386})""""","[:has_challenge]""""","(:households {id: e740})"""""
"(:median_pandemic_related_developments {id: e2387})""""","[:consistent_with]""""","(:baseline_scenario {id: e2362})"""""
"(:Chart_C {id: e2389})""""","[:includes]""""","(:Panel_b {id: e4342})"""""
"(:Chart_C {id: e2389})""""","[:depicts]""""","(:estimated_tail_risk_indicator {id: e17914})"""""
"(:Chart_C {id: e2389})""""","[:shows]""""","(:energy_intensive_sectors {id: e4062})"""""
"(:Chart_C {id: e2389})""""","[:shows]""""","(:co_movement {id: e7971})"""""
"(:Chart_C {id: e2389})""""","[:presents]""""","(:risk_distributions {id: e2390})"""""
"(:risk_distributions {id: e2390})""""","[:or]""""","(:economic_risk_factors_alone {id: e2393})"""""
"(:risk_distributions {id: e2390})""""","[:around]""""","(:projection_baseline {id: e2391})"""""
"(:risk_distributions {id: e2390})""""","[:draws_on]""""","(:pandemic_related_and_economic_risk_factors {id: e2392})"""""
"(:efficient_and_timely_vaccination {id: e2394})""""","[:increases]""""","(:GDP {id: e299})"""""
"(:efficient_and_timely_vaccination {id: e2394})""""","[:raises]""""","(:inflation {id: e108})"""""
"(:end_of_2021 {id: e2396})""""","[:time_of]""""","(:COVID_19_pandemic {id: e1711})"""""
"(:_0_point_5_percentage_points {id: e2397})""""","[:in]""""","(:all_other_income_quintiles {id: e9773})"""""
"(:_0_point_5_percentage_points {id: e2397})""""","[:affects]""""","(:all_other_income_quintiles {id: e9773})"""""
"(:longer_horizons {id: e2399})""""","[:dominated_by]""""","(:standard_model_based_uncertainty {id: e2400})"""""
"(:longer_horizons {id: e2399})""""","[:experienced]""""","(:declined {id: e556})"""""
"(:standard_model_based_uncertainty {id: e2400})""""","[:results_from]""""","(:historical_residuals {id: e2401})"""""
"(:pandemic_related_risk_factors {id: e2403})""""","[:affects]""""","(:short_term_outlook_for_growth {id: e2404})"""""
"(:pandemic_related_risk_factors {id: e2403})""""","[:poses_greater_uncertainty_than]""""","(:standard_economic_risk_factors {id: e2405})"""""
"(:Housing_costs {id: e2406})""""","[:includes]""""","(:Utility_costs {id: e2407})"""""
"(:Housing_costs {id: e2406})""""","[:includes]""""","(:Maintenance {id: e2412})"""""
"(:Housing_costs {id: e2406})""""","[:includes]""""","(:Rental_payments {id: e2413})"""""
"(:Housing_costs {id: e2406})""""","[:includes]""""","(:Mortgage_interest_payments {id: e2414})"""""
"(:Housing_costs {id: e2406})""""","[:percentage_of]""""","(:Household_income_expenditure_2019 {id: e2415})"""""
"(:Housing_costs {id: e2406})""""","[:linked_with]""""","(:Housing_market_developments {id: e2417})"""""
"(:Housing_costs {id: e2406})""""","[:dependent_on]""""","(:Homeownership_rate {id: e2421})"""""
"(:Housing_costs {id: e2406})""""","[:dependent_on]""""","(:Household_characteristics {id: e2422})"""""
"(:Utility_costs {id: e2407})""""","[:includes]""""","(:Water {id: e2408})"""""
"(:Utility_costs {id: e2407})""""","[:includes]""""","(:Electricity {id: e2409})"""""
"(:Utility_costs {id: e2407})""""","[:includes]""""","(:Gas {id: e2410})"""""
"(:Utility_costs {id: e2407})""""","[:includes]""""","(:Heating {id: e2411})"""""
"(:Electricity {id: e2409})""""","[:experiences_volatility]""""","(:extreme_volatility_in_prices {id: e16000})"""""
"(:Gas {id: e2410})""""","[:experiences_volatility]""""","(:extreme_volatility_in_prices {id: e16000})"""""
"(:Household_income_expenditure_2019 {id: e2415})""""","[:is]""""","(:One_fifth_20percent {id: e2416})"""""
"(:Housing_market_developments {id: e2417})""""","[:includes]""""","(:Rental_prices {id: e2418})"""""
"(:Housing_market_developments {id: e2417})""""","[:includes]""""","(:House_prices {id: e2419})"""""
"(:Structural_features_of_the_housing_market {id: e2423})""""","[:leads_to]""""","(:Significant_share_of_the_income {id: e2426})"""""
"(:Tenants {id: e2424})""""","[:spend]""""","(:Significant_share_of_the_income {id: e2426})"""""
"(:Less_affluent_households {id: e2425})""""","[:spend]""""","(:Significant_share_of_the_income {id: e2426})"""""
"(:The_box_examination {id: e2427})""""","[:examines]""""","(:Euro_area {id: e2428})"""""
"(:The_box_examination {id: e2427})""""","[:examines]""""","(:Types_of_households {id: e2429})"""""
"(:Euro_area {id: e2428})""""","[:is_related_to]""""","(:exclusion {id: e3477})"""""
"(:Euro_area {id: e2428})""""","[:experienced]""""","(:real_GDP_growth_rate {id: e12421})"""""
"(:Euro_area {id: e2428})""""","[:had_economic_growth_rate_of]""""","(:_0_point_3percent {id: e429})"""""
"(:Euro_area {id: e2428})""""","[:experienced_after]""""","(:Pandemic_shock {id: e4792})"""""
"(:Euro_area {id: e2428})""""","[:had_growth_of]""""","(:_0_point_1percent {id: e445})"""""
"(:Euro_area {id: e2428})""""","[:real_GDP_growth_in]""""","(:fourth_quarter_of_2019 {id: e538})"""""
"(:Euro_area {id: e2428})""""","[:experiencing]""""","(:producer_price_inflation {id: e3813})"""""
"(:Euro_area {id: e2428})""""","[:energy_markets_affected_by]""""","(:war_in_Ukraine {id: e10173})"""""
"(:housing_cost_overburden_rate {id: e2430})""""","[:is_a_measure_of]""""","(:population_living_in_a_household {id: e2431})"""""
"(:total_housing_costs {id: e2432})""""","[:is_more_than]""""","(:bn15 {id: bn15})"""""
"(:total_housing_costs {id: e2432})""""","[:is_more_than]""""","(:bn15 {id: bn15})"""""
"(:total_housing_costs {id: e2432})""""","[:PLACEHOLDER]""""","(:bn15 {id: bn15})"""""
"(:households_in_the_euro_area {id: e2434})""""","[:had_an_overburden_rate_of]""""","(:_2019 {id: e268})"""""
"(:tenants_renting_at_market_price {id: e2435})""""","[:were_overburdened_in]""""","(:_2019 {id: e268})"""""
"(:outright_owners {id: e2436})""""","[:were_overburdened_in]""""","(:_2019 {id: e268})"""""
"(:households_in_cities {id: e2437})""""","[:exceeded_the_overburden_threshold_in]""""","(:_2019 {id: e268})"""""
"(:households_in_rural_areas {id: e2438})""""","[:exceeded_the_overburden_threshold_in]""""","(:_2019 {id: e268})"""""
"(:households_in_the_lower_quintile {id: e2439})""""","[:is_in]""""","(:income_distribution {id: e2440})"""""
"(:households_in_the_lower_quintile {id: e2439})""""","[:were_overburdened_in]""""","(:_2019 {id: e268})"""""
"(:single_households {id: e2441})""""","[:had_a_high_overburden_rate]""""","(:_2019 {id: e268})"""""
"(:single_households {id: e2441})""""","[:higher_percentage_in]""""","(:tenants {id: e2456})"""""
"(:foreign_households {id: e2442})""""","[:had_a_high_overburden_rate]""""","(:_2019 {id: e268})"""""
"(:type_of_household {id: e2444})""""","[:faces_a_higher_cost_overburden_rate]""""","(:overcrowded_dwellings {id: e2445})"""""
"(:household_choices_and_characteristics {id: e2446})""""","[:affects]""""","(:housing_cost_burden {id: e2447})"""""
"(:housing_cost_burden {id: e2447})""""","[:across]""""","(:households {id: e740})"""""
"(:homeownership {id: e2448})""""","[:is_based_on]""""","(:household_characteristics {id: e2449})"""""
"(:homeowners {id: e2451})""""","[:associated_with]""""","(:survey_microdata {id: e4283})"""""
"(:homeowners {id: e2451})""""","[:have_income_above_threshold]""""","(:median_equivalised_income {id: e2459})"""""
"(:homeowners {id: e2451})""""","[:reported_no_reaction_to]""""","(:wealth_effects {id: e1385})"""""
"(:outright_homeownership {id: e2452})""""","[:percentage_in]""""","(:_2019 {id: e268})"""""
"(:tenants {id: e2456})""""","[:associated_with]""""","(:survey_microdata {id: e4283})"""""
"(:tenants {id: e2456})""""","[:rented_at]""""","(:reduced_price {id: e2457})"""""
"(:income {id: e2458})""""","[:includes]""""","(:profits {id: e7600})"""""
"(:income {id: e2458})""""","[:from]""""","(:holding_companies {id: e8029})"""""
"(:income {id: e2458})""""","[:depends_on]""""","(:outward_investment {id: e8017})"""""
"(:income {id: e2458})""""","[:depends_on]""""","(:inward_investment {id: e8019})"""""
"(:income {id: e2458})""""","[:used_for]""""","(:debt_repayments {id: e17327})"""""
"(:income {id: e2458})""""","[:is_negatively_affected_due_to]""""","(:resilience {id: e2466})"""""
"(:income {id: e2458})""""","[:finances]""""","(:consumption {id: e1341})"""""
"(:income {id: e2458})""""","[:trigger]""""","(:household_consumption_patterns {id: e15061})"""""
"(:income {id: e2458})""""","[:is_distinguished_from]""""","(:wealth {id: e1195})"""""
"(:income {id: e2458})""""","[:correlated_with]""""","(:economic_characteristics {id: e9702})"""""
"(:income {id: e2458})""""","[:correlated_with]""""","(:sociological_characteristics {id: e9706})"""""
"(:income {id: e2458})""""","[:correlated_with]""""","(:public_policies {id: e9713})"""""
"(:income {id: e2458})""""","[:should_be_recorded_in]""""","(:directly_owned_direct_investment_enterprise {id: e8043})"""""
"(:income {id: e2458})""""","[:R_Outlook]""""","(:China {id: e207})"""""
"(:income {id: e2458})""""","[:a_third_used_at_the_bottom_of]""""","(:income_distribution {id: e2440})"""""
"(:income {id: e2458})""""","[:state_during]""""","(:pandemic {id: e1589})"""""
"(:income {id: e2458})""""","[:outlook]""""","(:China {id: e207})"""""
"(:larger_households {id: e2461})""""","[:more_likely_to_own]""""","(:owned_property {id: e2460})"""""
"(:most_disadvantaged_households {id: e2463})""""","[:likely_to_have]""""","(:negative_effects {id: e2464})"""""
"(:most_disadvantaged_households {id: e2463})""""","[:likely_to_experience]""""","(:negative_effects {id: e2464})"""""
"(:negative_effects {id: e2464})""""","[:from]""""","(:coronavirus_COVID_19_crisis {id: e2067})"""""
"(:negative_effects {id: e2464})""""","[:due_to]""""","(:coronavirus_COVID_19_crisis {id: e2067})"""""
"(:negative_effects {id: e2464})""""","[:will_intensify_due_to]""""","(:increase_in_monetary_policy_interest_rates {id: e16775})"""""
"(:negative_effects {id: e2464})""""","[:likely_to_intensify_over_time_in]""""","(:euro_area {id: e375})"""""
"(:housing_costs {id: e2465})""""","[:affected_by]""""","(:real_estate_prices {id: e4330})"""""
"(:housing_costs {id: e2465})""""","[:driven_by]""""","(:newer_rental_contracts {id: e4337})"""""
"(:housing_costs {id: e2465})""""","[:timeframe]""""","(:_2019 {id: e268})"""""
"(:housing_costs {id: e2465})""""","[:timeframe]""""","(:_2018 {id: e461})"""""
"(:housing_costs {id: e2465})""""","[:pose_a_challenge_when]""""","(:income {id: e2458})"""""
"(:housing_costs {id: e2465})""""","[:increase_for]""""","(:tenants {id: e2456})"""""
"(:housing_costs {id: e2465})""""","[:better_approximation_of]""""","(:OOHPI {id: e4323})"""""
"(:housing_costs {id: e2465})""""","[:analysed_by]""""","(:data_sources {id: e4280})"""""
"(:resilience {id: e2466})""""","[:during]""""","(:COVID_19_crisis {id: e2110})"""""
"(:resilience {id: e2466})""""","[:of]""""","(:economic_activity {id: e1381})"""""
"(:resilience {id: e2466})""""","[:of]""""","(:unit_profits {id: e9564})"""""
"(:resilience {id: e2466})""""","[:increases]""""","(:euro_areas_institutional_architecture {id: e8423})"""""
"(:resilience {id: e2466})""""","[:relative_to]""""","(:depth_of_the_recession {id: e9250})"""""
"(:resilience {id: e2466})""""","[:in_relation_to]""""","(:income {id: e2458})"""""
"(:resilience {id: e2466})""""","[:may_reflect]""""","(:positive_credit_fundamentals {id: e3597})"""""
"(:resilience {id: e2466})""""","[:may_reflect]""""","(:ECBs_ongoing_purchases {id: e3598})"""""
"(:resilience {id: e2466})""""","[:will_be_enhanced_in]""""","(:euro_area {id: e375})"""""
"(:broader_and_medium_term_impact {id: e2467})""""","[:of]""""","(:coronavirus_COVID_19_crisis {id: e2067})"""""
"(:broader_and_medium_term_impact {id: e2467})""""","[:observed_over]""""","(:income {id: e2458})"""""
"(:structural_changes {id: e2468})""""","[:in]""""","(:behaviour_of_firms_and_households {id: e3245})"""""
"(:structural_changes {id: e2468})""""","[:includes]""""","(:increase_in_digitalisation {id: e3246})"""""
"(:structural_changes {id: e2468})""""","[:example_of]""""","(:climate_change {id: e6242})"""""
"(:structural_changes {id: e2468})""""","[:example_of]""""","(:inter_sectoral_re_balancing {id: e8340})"""""
"(:structural_changes {id: e2468})""""","[:example_of]""""","(:developments_in_productivity {id: e8341})"""""
"(:structural_changes {id: e2468})""""","[:example_of]""""","(:effects_of_severe_recessions {id: e8342})"""""
"(:structural_changes {id: e2468})""""","[:example_of]""""","(:changes_in_the_automotive_industry {id: e8343})"""""
"(:existing_differences {id: e2470})""""","[:related_to]""""","(:housing_cost_burden {id: e2447})"""""
"(:October_2020 {id: e2472})""""","[:time_of_data_availability]""""","(:gender_breakdown {id: e19238})"""""
"(:main_driver {id: e2473})""""","[:was]""""","(:recovery_in_energy_demand {id: e20569})"""""
"(:travel_related_services {id: e2475})""""","[:rebounds_due_to]""""","(:reopening_of_the_economy {id: e3930})"""""
"(:package_holidays {id: e2476})""""","[:is_the_third_highest]""""","(:import_intensities {id: e20471})"""""
"(:package_holidays {id: e2476})""""","[:has_import_intensity]""""","(:_35percent {id: e17257})"""""
"(:consumer_spending_patterns {id: e2484})""""","[:not_reflected_in]""""","(:official_inflation_statistics {id: e2485})"""""
"(:pandemic_induced_changes_in_household_consumption {id: e2486})""""","[:discussed_in]""""","(:Economic_Bulletin {id: e1898})"""""
"(:pandemic_induced_changes_in_household_consumption {id: e2486})""""","[:has_implications_for]""""","(:implications_for_inflation {id: e2487})"""""
"(:Consumption_patterns_and_inflation_measurement_issues_during_the_COVID_19_pandemic {id: e2488})""""","[:title_of]""""","(:Economic_Bulletin {id: e1898})"""""
"(:inflation_rates {id: e2489})""""","[:related_to]""""","(:travel_related_services {id: e2475})"""""
"(:inflation_rates {id: e2489})""""","[:maj_characteristics]""""","(:last_ten_years {id: e4562})"""""
"(:inflation_rates {id: e2489})""""","[:maj_characteristics]""""","(:staff_calculations {id: e4563})"""""
"(:inflation_rates {id: e2489})""""","[:differs_in]""""","(:HICP_sub_categories {id: e15067})"""""
"(:inflation_rates {id: e2489})""""","[:becomes_heterogeneous_due_to]""""","(:sharp_changes_in_relative_prices {id: e17227})"""""
"(:movement {id: e2490})""""","[:attribute_of]""""","(:inflation_rates {id: e2489})"""""
