n,r,m
downside risks,associated with,outlook for growth
downside risks,caused by,lockdowns
downside risks,due to,pandemic
downside risks,posed by,daily new COVID 19 infections
downside risks,posed by,subdued consumer confidence
downside risks,conditioned by,COVID 19 pandemic
downside risks,affect demand for,metals
downside risks,increases risk for,growth outlook
recovery in global trade,shows signs of,downside risks
recovery in global trade,towards the end of,end of 2020
global financial conditions,contributing to,global growth headwinds
global financial conditions,adding to,global growth headwinds
equity markets,being buoyed by,COVID 19 vaccine related developments
equity markets,being buoyed by,expansive fiscal policies
equity markets,being buoyed by,lower uncertainty
equity markets,lagging behind,recovery
equity markets,signal,sectors and countries
equity markets,signs of,excessive risk taking
equity markets,signs of,overvaluation
equity markets,associated with costs,various fees
equity markets,value lost by date,23 March
equity markets,value lost between,19 February
equity markets,lose value in,United States
equity markets,lose value in,euro area
equity markets,moved somewhat higher excluding,bank stocks
equity markets,signals recovery in,sectors and countries
lower uncertainty,regarding,future trade relations
future trade relations,between,United Kingdom
future trade relations,between,European Union
global market based inflation expectations,increase due to,United States
euro area risk free curve,does not suggest,market expectations for a rate cut
long term sovereign bond yields,located in,euro area
long term sovereign bond yields,change in,reference period
long term sovereign bond yields,observed during,review period
long term sovereign bond yields,increased in,euro area
long term sovereign bond yields,increased somewhat in,euro area
long term sovereign bond yields,increased,euro area
long term sovereign bond yields,in contrast to,United States
long term sovereign bond yields,in contrast to,United Kingdom
long term sovereign bond yields,status at,end of the review period
long term sovereign bond yields,comparison before event,banking sector turmoil
long term sovereign bond yields,behaviour during,review period
risk assets,performed well with increase in,equity prices
US equities,outperformed and reached new record highs compared to,euro area counterparts
euro area output,occurred in,first half of 2020
euro area output,by,0 point 2percent
euro area output,by,end of 2022
euro area output,had a fall in,first half of 2020
euro area output,Rise In,first quarter of 2023
euro area output,Rise By,0 point 1percent
third quarter of 2020,estimated quarterly growth rate,mild scenario
activity,time period,first half of 2020
activity,affected by,first quarter of this year
activity,declined in,fourth quarter of 2020
activity,covered by,questions
activity,affected by shocks to,global energy prices
activity,weigh on in,near term
activity,activity of,MNEs
activity,will be significantly affected by,containment measures
activity,will be significantly affected by,policy response
activity,contracted steeply,Turkey
activity,forecast to gradually regain momentum with progress in,vaccinations
activity,forecast to gradually regain momentum after,lockdowns
activity,monitored to establish,medium term inflation outlook
activity,forecast to gradually regain momentum once progress is made on,vaccinations
first quarter of this year,context,major economies
first quarter of this year,associated with,continued but slow growth
first quarter of this year,associated with,muted growth
manufacturing activity,performed in,2022
manufacturing activity,performed in,fourth quarter
manufacturing activity,affected by,Boeing 737 Max
manufacturing activity,occurred during,second half of 2020
manufacturing activity,observed in,first quarter of 2020
manufacturing activity,impacted by,pandemic
manufacturing activity,is in,Japan
manufacturing activity,weakened due to,supply constraints
manufacturing activity,weakened due to,global demand
manufacturing activity,plunged in,February
manufacturing activity,weakness in,first half of 2018
manufacturing activity,plunged due to,Hubei province
manufacturing activity,contributed to by,temporary factors
manufacturing activity,contributed to by,structural factors
manufacturing activity,fed into,services sector
manufacturing activity,share of decline in,car industry
industrial sector,suggests risk to,growth
industrial sector,increase in output,output
industrial sector,excludes,construction
industrial sector,exceed the level of,fourth quarter of 2019
industrial sector,continue to fare well in,current phase of the pandemic
industrial sector,increase excluding,construction sector
industrial sector,saw,20percent drop in profits
industrial sector,experienced rise,imports
industrial sector,increased output in,first quarter of 2021
roll out of vaccines,started in,late December
economic recovery,supported by,favourable financing conditions
economic recovery,supported by,expansionary fiscal stance
economic recovery,supported by,labour market
economic recovery,supported by,supply side conditions
economic recovery,supported by,targeting of restrictions
economic recovery,supported by,learning
economic recovery,supported by,behavioural adjustments
economic recovery,affected by,weak external demand prospects
economic recovery,affected by,sharp fall in export orders
economic recovery,affected by,gradual recovery in domestic demand
economic recovery,characterized by,global demand
economic recovery,occurred in,Japan
economic recovery,occurred in,Brazil
economic recovery,leads to,weights
economic recovery,leads to,spending patterns
economic recovery,challenged by,uncertainty
economic recovery,challenged by,supply bottlenecks
economic recovery,challenged by,energy crunch
economic recovery,stalled,end of 2020
economic recovery,supported by in,euro area
economic recovery,expected in time period,medium term
economic recovery,supported by recovery of,demand
economic recovery,followed,economic collapse
economic recovery,should be,temporary
economic recovery,should be,targeted
economic recovery,follows,pandemic
economic recovery,follows,COVID 19 crisis
economic recovery,follows,pandemic containment
economic recovery,expected in,Japan
economic recovery,factors weighing on,uncertain epidemiology of the virus
economic recovery,factors weighing on,diverse effectiveness of containment measures
economic recovery,factors weighing on,persistent economic damage
economic recovery,remains large fiscal support despite tightening,euro area aggregate fiscal stance
economic recovery,faced headwinds due to,disruptions
economic recovery,by preserving,employment relationships
economic recovery,supportive by,financing conditions
expansionary fiscal stance,support recovery,euro area economy
expansionary fiscal stance,contributes to recovery,euro area economy
expansionary fiscal stance,supports rebound in,third quarter
further adverse developments,occurs after,vaccine distribution
main refinancing operations,also known as,MROs
main refinancing operations,New Interest Rate After Increase,3 point 50percent
main refinancing operations,played role in,review period
main refinancing operations,interest rate after increase,3 point 00percent
main refinancing operations,has interest rate,0 point 00percent
main refinancing operations,role described as,record low levels
main refinancing operations,new interest rate set to,4 point 00percent
interest rate on main refinancing operations,has rate,0 point 00percent
marginal lending facility,is a type of,ECB policy rates
marginal lending facility,interest rate after increase,3 point 25percent
marginal lending facility,has interest rate,0 point 25percent
marginal lending facility,New Interest Rate After Hike,3 point 75percent
marginal lending facility,interest rate increased to,4 point 00percent
marginal lending facility,interest rate increased to,4 point 25percent
marginal lending facility,experienced interest rate change,interest rate increase
marginal lending facility,was unchanged during,review period
deposit facility,is a type of,ECB policy rates
deposit facility,Interest Rate Raised To,3 point 00percent
deposit facility,net of,marginal lending facility
deposit facility,interest rate after increase,2 point 50percent
deposit facility,interest rate increased to,3 point 25percent
deposit facility,experienced interest rate change,interest rate increase
deposit facility,was unchanged during,review period
deposit facility,interest rate starting from,21 June 2023
deposit facility,interest rate will be,3 point 50percent
interest rate on marginal lending facility,has rate,0 point 25percent
projection horizon,from,2023 to 2025
projection horizon,for,the euro area as a whole
projection horizon,according to,March 2023 ECB staff macroeconomic projections
projection horizon,value description,unity
projection horizon,funded by,NGEU grants
target level for inflation outlook,defined as,inflation outlook
pandemic emergency purchase programme PEPP,conducted in,flexible manner
pandemic emergency purchase programme PEPP,has value,Euro1850 billion
pandemic emergency purchase programme PEPP,compared to,first months of the year
pandemic emergency purchase programme PEPP,used for,outright purchases
pandemic emergency purchase programme PEPP,termination condition,coronavirus crisis phase
pandemic emergency purchase programme PEPP,net asset purchases until,end of March 2022
pandemic emergency purchase programme PEPP,purpose,favourable financing conditions
pandemic emergency purchase programme PEPP,conducted by,Governing Council
pandemic emergency purchase programme PEPP,introduced to ease,monetary policy stance
pandemic emergency purchase programme PEPP,conducted among,jurisdictions
pandemic emergency purchase programme PEPP,has envelope,Euro750 billion
pandemic emergency purchase programme PEPP,expected to last until,March 2022
pandemic emergency purchase programme PEPP,conducted across,asset classes
pandemic emergency purchase programme PEPP,counter severe risks to,monetary policy transmission mechanism
pandemic emergency purchase programme PEPP,started at,end of March
pandemic emergency purchase programme PEPP,total envelope,1850 billion
pandemic emergency purchase programme PEPP,expected purchase pace increase over,second quarter
pandemic emergency purchase programme PEPP,abbreviation for,pandemic emergency purchase programme PEPP
pandemic emergency purchase programme PEPP,Part Of,net asset purchases
pandemic emergency purchase programme PEPP,Abbreviated As,pandemic emergency purchase programme PEPP
envelope,within,net purchase horizon
envelope,use condition,favourable financing conditions
envelope,recalibration possibility,favourable financing conditions
envelope,can be recalibrated,favourable financing conditions
envelope,can be recalibrated to counter,negative pandemic shock
PEPP,in period,first maintenance period of 2022
PEPP,part of,Eurosystems net purchases
PEPP,reinvestments adjusted in event of,market fragmentation
PEPP,stands for,pandemic emergency purchase programme
PEPP,stands for,Pandemic Emergency Purchase Programme
PEPP,same as,pandemic emergency purchase programme
PEPP,will end at the time of,end of March
PEPP,resumes net purchases to counter,net purchases
PEPP,includes asset categories,asset categories
PEPP,cause for increase,excess liquidity
PEPP,has worth of,Euro750 billion
PEPP,is called,pandemic emergency purchase programme
PEPP,increase followed by,PSPP
PEPP,increase followed by,CSPP
PEPP,concluded in,March 2022
PEPP,expected to last until,end of March 2022
PEPP,purchases until,end of 2020
PEPP,has reinvestment strategy,reinvestment strategy
PEPP,liquidity provision amount second maintenance period,Euro53 point 2 billion
PEPP,referred to as,pandemic emergency purchase programme
PEPP,equivalent weekly purchase amount,nearly Euro18 billion
PEPP,represented largest increase,increase in average holdings
PEPP,represented,largest increase
PEPP,start date of purchases,26 March
PEPP,caused narrowing of,spreads of euro area sovereign bonds relative to OIS rates
PEPP,Partially Offset By,net autonomous factors
PEPP,Resulted In Decrease Of,4 point 5 billion
PEPP,Conducted Asset Purchases,average excess liquidity
future roll off of the PEPP portfolio,related to,appropriate monetary policy stance
future roll off of the PEPP portfolio,managed to avoid,appropriate monetary policy stance
future roll off of the PEPP portfolio,will be managed to avoid,monetary policy stance
ample liquidity,through,refinancing operations
refinancing operations,affected by,interest rate increase
refinancing operations,interest rate increased to,3 point 75percent
attractive source of funding,for,banks
global economic activity,affected by,Omicron variant
global economic activity,affected by,supply bottlenecks
global economic activity,affected by,pandemic related staff absences
global economic activity,affected by,high commodity prices
global economic activity,affected by,Omicron variant of COVID 19
global economic activity,was in,early 2023
global economic activity,recovered towards,end of 2020
global economic activity,remained resilient,fourth quarter of last year
global economic activity,remained resilient,fourth quarter of the last year
global economic activity,was supported by,China
global economic activity,weakening at,the turn of the year
global economic activity,state at,turn of the year
global economic activity,state at,start of the year
global economic activity,brightened by,China
global economic activity,brightened by,advanced economies
global economic activity,recovery will hinge on,vulnerable EMEs
global economic activity,status at time,beginning of the year
global economic activity,surprised at,start of the year
global economic activity,remained resilient at,2022
global economic activity,was supported by resilience in,US labour market
global economic activity,was stronger than expected in,early 2023
global economic activity,entered period at,beginning of the year
global economic activity,had state of,weaker footing
challenge,related to,gas supplies
challenge,depends on,weather
challenge,depends on,gas inventories
challenge,was on the rise towards,end of 2020
COVID 19 pandemic,related to,high money growth
COVID 19 pandemic,associated with,2022
COVID 19 pandemic,associated with,emergency measures
COVID 19 pandemic,impacts,fiscal policies
COVID 19 pandemic,influences,spending patterns
COVID 19 pandemic,impact on,SMEs
COVID 19 pandemic,impact on,large firms
COVID 19 pandemic,caused,international trade
COVID 19 pandemic,caused,euro area output
COVID 19 pandemic,caused,March
COVID 19 pandemic,caused,global supply disruptions
COVID 19 pandemic,caused,suppressed demand
COVID 19 pandemic,prompted,fiscal policy responses
COVID 19 pandemic,led to,changes
COVID 19 pandemic,triggered,economic downturn
COVID 19 pandemic,R04,global economic recovery
COVID 19 pandemic,has impact on,economies
COVID 19 pandemic,measures taken include,lockdowns
COVID 19 pandemic,measures taken include,social distancing
COVID 19 pandemic,measures taken include,public events
COVID 19 pandemic,measures taken include,shutdowns
COVID 19 pandemic,captured by,data
COVID 19 pandemic,adversely affected,global economic activity
COVID 19 pandemic,aside from,structural challenges
COVID 19 pandemic,reason for measures,containment measures
COVID 19 pandemic,impact start on,early 2020
COVID 19 pandemic,caused decline in,economic activity
COVID 19 pandemic,impact start,global economic activity
COVID 19 pandemic,cause losses for,global real GDP
COVID 19 pandemic,paralyzed,global economy
COVID 19 pandemic,Pose risk,economic inequalities amplification
most recent wave of the pandemic,weighed on,economic activity
most recent wave of the pandemic,compared less strongly with,first wave
first wave,occurred in,March 2020
first wave,occurred in,April 2020
first wave,compared with first wave in,March 2020
first wave,compared with first wave in,April 2020
first wave,is a time of,COVID 19 pandemic
March 2020,unemployment rate increased,7 point 4percent
March 2020,end of reporting period before,ongoing crisis
April 2020,rate,0 point 3percent
April 2020,highest percentage of labour force covered by,job retention schemes
April 2020,highest percentage of labour force covered by job retention schemes,20percent
global growth prospects,will depend on,pandemic
global growth prospects,will depend on,vaccination
global manufacturing and services Purchasing Managers Index,excluded,euro area
global manufacturing and services Purchasing Managers Index,remained higher at,end of 2020
global outlook,affected by,slowing demand
global outlook,R01,risks
global outlook,risks skewed to,downside
daily new COVID 19 infections,R05,global economic recovery
countries strongly affected by COVID 19,R06,growth momentum
growth momentum,includes,services sector
growth momentum,includes,manufacturing sector
growth momentum,described in,advanced economies
growth momentum,expected to improve,global goods trade
growth momentum,picked up from,January
growth momentum,was eased by,pandemic
growth momentum,was eased by,supply side pressures
growth momentum,described as at,turn of the year
growth momentum,continued until,February
growth momentum,slowdown reason,consumer confidence
growth momentum,varies among,sectors
growth momentum,varies among,countries
growth momentum,varies between,sectors
growth momentum,varies between,countries
growth momentum,become less negative in,global goods trade
upside risks,R07,United Kingdom
upside risks,R07,European Union EU
upside risks,conditioned by,COVID 19 pandemic
upside risks,R08,fiscal support package
upside risks,stem from,domestic factors
upside risks,primary over,medium term
upside risks,Contribute to,economic impact
upside risks,Contribute to,supply chains
European Union EU,R14,trade relations
fiscal support package,R15,upside risks
fiscal support package,R09,United States
vaccination rollout,R11,lockdowns
lockdowns,related to,supply chain disruptions
lockdowns,lead to,consumer spending patterns
lockdowns,associated with,May
lockdowns,associated with,April
lockdowns,associated with,unprecedented divergence
lockdowns,location,China
lockdowns,location,Europe
lockdowns,associated to a lesser extent,December
lockdowns,associated to a lesser extent,November
lockdowns,reduce,economic activity
lockdowns,present difficulties for,statisticians
lockdowns,R12,global growth prospects
lockdowns,contributed to,shipping volumes
lockdowns,R in,several municipalities
lockdowns,R amid,new cases
lockdowns,increase likelihood,imputation shares
lockdowns,unique to,pandemic
lockdowns,lead to disruption,labour supply
lockdowns,lead to disruption,production supply chains
lockdowns,cause,supply effects
lockdowns,resulting from,China
lockdowns,resulting from,war in Ukraine
lockdowns,to slow spread of,COVID 19 infections
lockdowns,lockdowns in,China
lockdowns,eased on,May 2020
trade relations,R13,upside risks
global inflation,was in,November
global inflation,Risk,upside risks
global inflation,continued to rise due to,higher energy prices
global inflation,reflecting higher,energy prices
global inflation,broadening of,price pressures
global inflation,continued to rise,2021
global inflation,slowed,February
global inflation,will decrease in,future
annual consumer price inflation,in,Organisation for Economic Co operation and Development countries
annual consumer price inflation,in,OECD countries
annual consumer price inflation,time,November
annual consumer price inflation,time period,April
annual consumer price inflation,from,5 point 1percent
annual consumer price inflation,has amount,0 point 7percent
annual consumer price inflation,when,December
annual consumer price inflation,when,April
annual consumer price inflation,observed in,member countries
annual consumer price inflation,increase in,OECD countries
annual consumer price inflation,occurred in,OECD countries
annual consumer price inflation,increased to,3 point 3percent
annual consumer price inflation,increased to,5 point 8percent
annual consumer price inflation,amount,3 point 3percent
annual consumer price inflation,was,2 point 4percent
annual consumer price inflation,remained at,1 point 2percent
annual consumer price inflation,increased in,January
annual consumer price inflation,rose to,5 point 4percent
annual consumer price inflation,time frame,April
annual consumer price inflation,expected to pick up sharply in,near term
annual consumer price inflation,has amount in December,0 point 6percent
annual consumer price inflation,declined to,2 point 2percent
annual consumer price inflation,increase across,advanced economies
annual consumer price inflation,previous amount,2 point 4percent
annual consumer price inflation,previous time frame,March
Organisation for Economic Co operation and Development countries,on date,November
rate of inflation excluding energy and food,on date,November
rate of inflation excluding energy and food,remained at,1 point 6percent
rate of inflation excluding energy and food,in April is,5 point 6percent
1 point 6percent,in,April 2021
1 point 6percent,in month,April
global wage and price inflationary pressures,expected to remain,future
Ample spare capacity,in,most economies
Ample spare capacity,expected to contain,global wage and price inflationary pressures
fourth quarter,part of,2021
fourth quarter,R increase amount,2 point 6percent
fourth quarter,saw change in,corporate investment
fourth quarter,decline in hours worked by,1 point 6percent
sizeable new fiscal stimulus package,agreed to support,consumption
labour market,in,United Kingdom
labour market,supports,incomes
labour market,supports,spending
labour market,performed in,first quarter of 2023
labour market,located in,US
labour market,associated with,unemployment
labour market,reduction in,income inequality
labour market,influences,inflation expectations
labour market,despite,stagnation
labour market,increases,confidence
labour market,contribute to,higher income
labour market,reacted to,monetary policy tightening
labour market,remains,euro area economy
labour market,indicative of weakness by,permanent job losses
labour market,distorted by,dismissals
labour market,related policies,digital skills measures
labour market,related policies,active labour market policies
labour market,is improving with,people having jobs
labour market,tightening reflected in,wages
labour market,improves further,households
labour market,expanded by,0 point 3percent
labour market,is improving with fewer,job retention schemes
labour market,condition,labour supply shortages
labour market,related reforms,structural reforms
labour market,improve in,euro area
labour market,expected to improve,2022
labour market,main driver of,wage pressures
labour market,perception improved,perceptions
labour market,condition in,United Kingdom
labour market,has status,status
labour market,added,almost a million new jobs
labour market,is strong with more,jobs
labour market,remains a,source of strength
labour market,supported recovery of,aggregate demand
labour market,continues to improve in spite of,war in Ukraine
labour market,continues to improve in,euro area
permanent job losses,occurred in,November
new job postings,remaining below,pre pandemic levels
pre pandemic levels,sector context,some sectors
unemployment rate,in,April
unemployment rate,rate,6 point 6percent
unemployment rate,decreased by,February 2022
unemployment rate,amounted to,6 point 7percent
unemployment rate,for period,January 2023
unemployment rate,is in,euro area
unemployment rate,was in,November
unemployment rate,was in,euro area
unemployment rate,was in,fourth quarter of 2020
unemployment rate,was in,January 2022
unemployment rate,was in,April 2021
unemployment rate,changed since,April 2022
unemployment rate,was,6 point 6percent
unemployment rate,remained at,6 point 6percent
unemployment rate,increase by,3 point 1 percentage points
unemployment rate,increase by,0 point 9 percentage points
unemployment rate,rose to,8 point 2percent
unemployment rate,reached,historical low
unemployment rate,measured by,CES
unemployment rate,stood at,February 2022
unemployment rate,stood at,historical low
unemployment rate,increase until,the first quarter of 2021
unemployment rate,increase among,foreign citizens
unemployment rate,increase among,nationals
unemployment rate,status in,United Kingdom
unemployment rate,declined from,8 point 1percent
unemployment rate,increase between,the fourth quarter of 2019
unemployment rate,decreased in,labour market
unemployment rate,unemployment rate in,euro area
unemployment rate,rate in,April
unemployment rate,unemployment rate on,December 2022
unemployment rate,falls by more than,2 percentage points
unemployment rate,stand below level during,pandemic
unemployment rate,falls by less than,0 point 5 percentage points
unemployment rate,similar period,financial crisis
unemployment rate,historical low,6 point 6percent
unemployment rate,rate was,6 point 8percent
unemployment rate,could rise over,coming quarters
unemployment rate,muted reaction cause,short time work schemes
unemployment rate,increased due to,employment
unemployment rate,increased due to,decline in employment
unemployment rate,compare to,pre pandemic level
unemployment rate,fell to,6 point 5percent
unemployment rate,falls by,2 percentage points
unemployment rate,value of,6 point 5percent
unemployment rate,might rise due to,possible slowdown in job creation
unemployment rate,stable since,April 2022
unemployment rate,stood at in,April
unemployment rate,decrease compared to,January 2022
unemployment rate,time of fall,March
unemployment rate,peak during crisis,8 point 7percent
unemployment rate,exceeds by,7 point 3percent
unemployment rate,had a rate of,April 2022
unemployment rate,indicates the lowest level since inception of,euro area
unemployment rate,was lower than,pre pandemic level
unemployment rate,exceeds level,pre pandemic level
unemployment rate,was unchanged from,March 2022
further stimulus measures,enacted by,new US administration
Japan,affected by,consumption tax hike
Japan,affected by,powerful typhoon
Japan,uses approach,rental equivalence approach
Japan,uses approach for,monetary policy purposes
Japan,economy expected recovery after,third quarter
Japan,fourth quarter of year,fourth quarter of 2022
Japan,reduction due to,COVID 19
Japan,capacity dropped by,48percent
Japan,economic state in timeframe,first quarter of the year
Japan,experienced softened,economic activity
Japan,vaccination progress affects recovery in,second half of this year
Japan,economic recovery supported by,policy support
Japan,economic recovery supported by,pent up demand
Japan,economic recovery supported by,global demand
Japan,recovery expected to proceed at,a moderate pace
Japan,annual CPI inflation projection,annual CPI inflation
Japan,economic recovery support declining,supply chains
Japan,halted recovery due to,supply constraints
Japan,halted recovery due to,Omicron variant
Japan,recovery expected to resume,later this year
Japan,economic growth outlook,economic growth
industrial production,related to,2022
industrial production,in,euro area
industrial production,suggests,supply bottlenecks
industrial production,associated with,pick up
industrial production,belongs to,manufacturing
industrial production,characterised by,recessions
industrial production,occurred in,Japan
industrial production,described by,model
industrial production,growth weakened,November
industrial production,reacts to,energy shocks
industrial production,decline in response to,US monetary policy shocks
industrial production,divergence with,retail sales
industrial production,contraction in,growth slowdown
industrial production,reduced from to,September 2022
industrial production,reduced from to,September 2021
industrial production,should change with,economy recovery
industrial production,condition during,growth slowdown
industrial production,R Performance,China
industrial production,weaker than expected result,China
services PMI,indicates,neutral threshold
services PMI,occurred in,Japan
new fiscal package,includes,3 point 5percent of GDP
new fiscal package,supports activity,Japan
third wave of COVID 19 infections,prompting,additional lockdown measures
additional lockdown measures,occurred in,Japan
additional lockdown measures,will weigh on,growth outlook
growth outlook,is for,2023
growth outlook,for time period,first half of this year
growth outlook,for,global economy
growth outlook,is in,United States
growth outlook,risk factors include,geopolitical factors
growth outlook,risk factors include,rising protectionism
growth outlook,risk factors include,emerging markets
growth outlook,remains despite,moderating inflation
growth outlook,remains despite,strong labour markets
growth outlook,clouded by,residential private investment
growth outlook,is the outlook for,first half of 2023
growth outlook,remained unchanged for,global economy
growth outlook,in the global economy is,global economy
growth outlook,downward revision caused by,war in Ukraine
tariff free goods trade,related to,goods traded
tariff free goods trade,ensures,zero quotas
zero quotas,related to,goods traded
zero quotas,applies to goods traded between,United Kingdom
zero quotas,applies to goods traded between,EU
goods traded,face,administrative burdens
goods traded,face,border processes
border processes,involves,customs checks
border processes,involves,regulatory checks
consumer confidence,supports,spending
consumer confidence,affected by,containment measures
consumer confidence,affected by,worsening pandemic situation
consumer confidence,affected by,deteriorating labour market conditions
consumer confidence,experienced change,April
consumer confidence,in period,May
consumer confidence,change in,March
consumer confidence,remains below,long term average
consumer confidence,changed in,recent weeks
consumer confidence,increased in,February 2020
consumer confidence,reached,May
consumer confidence,consistent with,growth in private consumption
consumer confidence,reached level,pre pandemic levels
consumer confidence,reached level,September 2022
consumer confidence,status in,United Kingdom
consumer confidence,fell in,April
consumer confidence,was close to low level in,March 2009
consumer confidence,indicated in,European Commissions consumer survey
consumer confidence,returned to,May
consumer confidence,decreased,household loan demand
consumer confidence,fell due to,COVID 19 outbreak
consumer confidence,deteriorated in,advanced economies
consumer confidence,remains above,historical average
consumer confidence,deteriorated further in,February
consumer confidence,started to improve in,early 2023
consumer confidence,has grown in,past year
consumer confidence,are strengthening,private consumption
consumer confidence,signals rebound in,second quarter
consumer confidence,fell to level since,the beginning of the pandemic
consumer confidence,fell during,COVID 19 lockdown
consumer confidence,experienced an upturn in,March
consumer confidence,suggests rebound in,private consumption
consumer confidence,signals economic rebound in,second quarter
consumer confidence,edged up in,May
consumer confidence,has fallen due to,real household disposable income
UK GDP,reflects,fourth quarter of 2020
official monthly data,indicates,growth
government,in,Malta
government,launched,deleveraging campaign
government,reduced,countercyclical capital buffer
government,aim,rising energy prices
government,implemented,strict nationwide lockdown
government,introduced,coronavirus contingency measures
government,decides,public wage increase
government,included in economic policy responses,Term Funding Scheme
government,included in economic policy responses,quantitative easing
government,reactivated for additional support,temporary monetary financing facility
government,regulatory efforts target,real estate sector
government,reactivated,temporary monetary financing facility
government,included in additional support,quantitative easing
government,shield,private sector disposable income
government,provide to,target groups
government,attempt to ease,energy prices
strict nationwide lockdown,lasts until,mid February
annual growth rate,related to,euro area food sector
annual growth rate,time period,April
annual growth rate,from,6 point 3percent
annual growth rate,value,9 point 2percent
annual growth rate,value,4 point 6percent
annual growth rate,growth rate in,April
annual growth rate,relates to,overnight deposits
annual growth rate,compared with,average annual rate
annual growth rate,rate value,12 point 7percent
annual growth rate,rate for,overnight deposits
annual growth rate,compared to,3 point 2percent
annual growth rate,of,producer prices
annual growth rate,is,3 point 8percent
annual growth rate,is,3 point 2percent
annual growth rate,observed in,April
annual growth rate,occurred in,January
annual growth rate,occurred in,November 2020
annual growth rate,had value,4 point 7percent
annual growth rate,pertains to,negotiated wages
annual growth rate,was,previous month
annual growth rate,was,3 point 2percent
annual growth rate,was,March 2021
annual growth rate,was,21 point 4percent in April
annual growth rate,was,16 point 4percent in February
annual growth rate,decline from,February 2020
annual growth rate,value is,1 point 1percent
annual growth rate,amount in,third quarter of 2020
annual growth rate,decline to,October 2020
annual growth rate,up from,previous month
annual growth rate,comparison,December
annual growth rate,comparison,previous quarter
annual growth rate,reached,February
annual growth rate,R for year,2020
annual growth rate,dropped from,2 point 4percent
annual growth rate,time frame,December
annual growth rate,stood at,April
annual growth rate,measured for,bank loans
annual growth rate,decreased from,March
annual growth rate,fell from,1 point 9percent
annual growth rate,recorded in,April
annual growth rate,declined,loans to NFCs
annual growth rate,declined to,6 point 1percent
annual growth rate,growth rate for,overnight deposits
annual growth rate,growth rate of,households
annual growth rate,growth rate of,private sector
annual growth rate,growth rate of,non financial corporations
annual growth rate,higher in,March
annual growth rate,characterize,overnight deposits
annual growth rate,fell to,0 point 6percent
annual growth rate,is the annual growth rate of,producer prices
annual growth rate,rate of,overnight deposits
annual growth rate,describe growth rate,producer prices
annual growth rate,rate amount,12 point 7percent
annual growth rate,record high,January
annual growth rate,down in,February
annual growth rate,time of event,April
annual growth rate,decrease to month,April 2023 2
annual growth rate,in April for,loans to NFCs
annual growth rate,jumped in,April 2022
annual growth rate,previous time of event,March
annual growth rate,had value in month,1 point 7percent
annual growth rate,had value in month,2 point 2percent
annual growth rate,declined in April from,5 point 2percent
annual growth rate,rate comparison,3 point 6percent
annual growth rate,decrease from month,January 2023
final quarter of 2020,foresaw a,2 point 5percent decline
final quarter of 2020,R signify recovery momentum,recovery momentum
recovery momentum,R towards,consumption
recovery momentum,R broadened from,investment
PMI data,R signals strengthening of,service sector
PMI data,shows data for,manufacturing sector
service sector,located in,United Kingdom
service sector,R in country,China
service sector,suffer,current crisis
service sector,hardest hit by,pandemic
service sector,recovery held back by,shortages of equipment materials and labour
service sector,impeded by,shortages of equipment
service sector,impeded by,materials
service sector,impeded by,labour
broadly under control,R in country,China
EONIA,related to,October 2019
EONIA,includes,fixed spread
EONIA,average value,48 basis points
EONIA,suggests about,future interest rates
EONIA,average points,47 basis points
EONIA,average during,review period
EONIA,stands for,Euro Overnight Index Average
EONIA,type of,overnight transaction based lending rate
EONIA,is also known as,euro overnight index average
EONIA,average amount,45 basis points
EONIA,moves in relation with,EuroSTR
EONIA,calculated as,EuroSTR
EONIA,average over period,review period
EONIA,discontinued on,3 January 2022
EONIA,moved in parallel with,EuroSTR
EONIA,reporting status,EuroSTR
EONIA,remains below zero until,year EONIA curve remains below zero
EONIA,has a fixed spread,fixed spread
EONIA,is calculated as,EuroSTR
EONIA,signifies,monetary policy accommodation
EONIA,calculation date,October 2019
EONIA,calculated as since,October 2019
EONIA,plus fixed spread,spread
EONIA,moves in parallel with,STR
EONIA,moves in parallel with,average STR
EONIA,recalibrated to,fixed spread
EONIA,did not comply with,EU Benchmarks Regulation
EONIA,be discontinued,discontinuation
EONIA,was previously,STR
EONIA,deemed insufficient due to,underlying data
EONIA,discontinued in,2022
EONIA,calculated as STR plus,fixed spread
review period,from,16 March
review period,to,9 March 2022
review period,to,3 May 2023
review period,start time,mid March
review period,timeframe,EONIA
review period,timeframe,excess liquidity
review period,timeframe,benchmark euro short term rate
review period,starts on,10 December 2020
review period,starts on,8 February 2023
review period,starts on,11 March
review period,starts on,12 March 2020
review period,ends on,20 January 2021
review period,ends on,29 April 2020
review period,ends on,9 June 2021
review period,ends on,9 May 2023
review period,lasted until,27 April
review period,had average of,58 basis points
review period,covers period from,15 December
review period,covers period from,16 December 2021
review period,ended on,3 June 2020
review period,ended on,26 January 2021
review period,ended on,14 June 2023
review period,took place from,15 December 2022
review period,took place from,16 March 2023
review period,had duration,10 December 2020
review period,had duration,10 March 2021
review period,IncludesTimes,mid December 2022
review period,IncludesTimes,end of October 2022
review period,had review period from,15 December 2022
review period,took place until,15 March 2023
review period,started on,12 March 2020
review period,started on,4 November 2020
review period,had review period to,15 March 2023
review period,covers to,1 February 2023
review period,context for,central bank liquidity
review period,took place during,January
review period,took place during,February
review period,took place during,April
review period,took place during,March
review period,spanning from,11 March
review period,has duration from,10 March 2022
review period,has duration until,13 April 2022
